tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-0339,Brisbane,Hard,32,A,20240101,271,127157,111454,7-6(5) 7-6(4),3,R32,121.0,7.0,1.0,81.0,55.0,42.0,17.0,12.0,0.0,0.0,3.0,2.0,83.0,46.0,38.0,22.0,12.0,2.0,2.0
2024-0339,Brisbane,Hard,32,A,20240101,270,105777,104918,4-6 7-5 6-2,3,R32,147.0,13.0,2.0,82.0,51.0,42.0,16.0,15.0,3.0,5.0,4.0,0.0,86.0,51.0,32.0,21.0,15.0,4.0,8.0
2024-9900,United Cup,Hard,18,A,20240101,300,100644,128034,6-7(3) 7-6(6) 6-4,3,F,179.0,8.0,1.0,96.0,72.0,62.0,14.0,17.0,0.0,0.0,19.0,1.0,119.0,70.0,54.0,27.0,17.0,6.0,7.0
2024-9900,United Cup,Hard,18,A,20240101,298,128034,105173,6-3 7-5,3,SF,101.0,15.0,0.0,58.0,36.0,31.0,14.0,11.0,0.0,0.0,1.0,1.0,70.0,45.0,30.0,12.0,10.0,3.0,5.0
2024-9900,United Cup,Hard,18,A,20240101,296,200282,100644,5-7 6-3 6-4,3,SF,160.0,4.0,2.0,97.0,62.0,43.0,24.0,16.0,3.0,4.0,10.0,0.0,83.0,57.0,42.0,15.0,15.0,2.0,4.0
2024-9900,United Cup,Hard,18,A,20240101,294,128034,111190,6-3 6-4,3,QF,82.0,10.0,0.0,65.0,48.0,36.0,9.0,10.0,1.0,1.0,3.0,2.0,55.0,29.0,21.0,14.0,9.0,2.0,4.0
2024-9900,United Cup,Hard,18,A,20240101,292,134770,105173,6-1 6-4,3,QF,76.0,10.0,1.0,50.0,33.0,29.0,9.0,9.0,0.0,0.0,4.0,1.0,49.0,33.0,20.0,7.0,8.0,2.0,5.0
2024-9900,United Cup,Hard,18,A,20240101,290,200282,104925,6-4 6-4,3,QF,93.0,7.0,2.0,49.0,34.0,33.0,8.0,10.0,0.0,0.0,4.0,1.0,68.0,43.0,30.0,11.0,10.0,3.0,5.0
2024-9900,United Cup,Hard,18,A,20240101,288,100644,126774,6-4 6-4,3,QF,96.0,5.0,0.0,56.0,45.0,34.0,8.0,10.0,2.0,2.0,4.0,1.0,64.0,40.0,34.0,6.0,10.0,6.0,8.0
2024-9900,United Cup,Hard,18,A,20240101,286,200221,128034,3-6 6-3 6-4,3,RR,121.0,1.0,2.0,83.0,49.0,30.0,25.0,14.0,3.0,5.0,9.0,3.0,80.0,60.0,41.0,9.0,14.0,3.0,6.0
2024-9900,United Cup,Hard,18,A,20240101,284,128034,205734,6-7(4) 6-2 6-3,3,RR,141.0,10.0,3.0,81.0,52.0,39.0,19.0,14.0,1.0,2.0,6.0,2.0,110.0,82.0,54.0,10.0,15.0,8.0,13.0
2024-9900,United Cup,Hard,18,A,20240101,282,200221,205734,6-4 6-0,3,RR,88.0,4.0,2.0,53.0,38.0,30.0,8.0,8.0,0.0,0.0,4.0,1.0,50.0,27.0,16.0,10.0,8.0,3.0,7.0
2024-9900,United Cup,Hard,18,A,20240101,280,126774,105731,6-2 6-3,3,RR,77.0,6.0,2.0,51.0,31.0,28.0,9.0,9.0,1.0,1.0,0.0,3.0,48.0,27.0,16.0,11.0,8.0,3.0,6.0
2024-9900,United Cup,Hard,18,A,20240101,278,111797,208852,6-3 3-6 7-5,3,RR,142.0,8.0,0.0,68.0,49.0,41.0,17.0,15.0,0.0,1.0,4.0,1.0,104.0,61.0,43.0,22.0,15.0,10.0,12.0
2024-9900,United Cup,Hard,18,A,20240101,276,111797,105731,7-5 6-4,3,RR,118.0,6.0,0.0,55.0,36.0,31.0,14.0,11.0,0.0,0.0,1.0,2.0,91.0,58.0,37.0,16.0,11.0,2.0,4.0
2024-9900,United Cup,Hard,18,A,20240101,274,126203,111815,7-6(5) 6-4,3,RR,105.0,14.0,0.0,68.0,43.0,33.0,15.0,11.0,1.0,2.0,3.0,1.0,67.0,36.0,29.0,16.0,11.0,3.0,5.0
2024-9900,United Cup,Hard,18,A,20240101,272,200282,126203,6-4 6-2,3,RR,89.0,3.0,3.0,57.0,36.0,28.0,12.0,9.0,3.0,3.0,10.0,1.0,59.0,36.0,26.0,9.0,9.0,4.0,7.0
2024-9900,United Cup,Hard,18,A,20240101,270,111815,200282,6-4 2-6 7-6(2),3,RR,140.0,7.0,1.0,89.0,57.0,51.0,12.0,15.0,1.0,3.0,8.0,3.0,81.0,45.0,35.0,23.0,15.0,2.0,3.0
2024-9900,United Cup,Hard,18,A,20240101,268,105173,132283,6-4 6-4,3,RR,109.0,2.0,1.0,62.0,44.0,32.0,13.0,10.0,0.0,0.0,2.0,1.0,62.0,40.0,27.0,11.0,10.0,2.0,4.0
2024-9900,United Cup,Hard,18,A,20240101,266,100644,105173,4-6 6-4 6-3,3,RR,145.0,11.0,1.0,91.0,67.0,47.0,16.0,15.0,4.0,5.0,6.0,2.0,81.0,51.0,40.0,15.0,14.0,0.0,2.0
2024-9900,United Cup,Hard,18,A,20240101,264,100644,132283,6-7(5) 6-3 6-4,3,RR,172.0,7.0,1.0,87.0,64.0,52.0,17.0,16.0,0.0,0.0,7.0,2.0,111.0,70.0,50.0,20.0,15.0,9.0,11.0
2024-9900,United Cup,Hard,18,A,20240101,262,111190,208103,5-7 6-3 6-4,3,RR,140.0,5.0,3.0,97.0,59.0,42.0,19.0,16.0,7.0,10.0,10.0,1.0,79.0,43.0,33.0,20.0,15.0,6.0,10.0
2024-9900,United Cup,Hard,18,A,20240101,260,104925,208103,6-1 6-7(3) 6-1,3,RR,136.0,3.0,2.0,80.0,49.0,36.0,19.0,14.0,3.0,5.0,4.0,1.0,75.0,47.0,30.0,9.0,12.0,5.0,11.0
2024-9900,United Cup,Hard,18,A,20240101,258,104925,111190,6-3 6-2,3,RR,72.0,7.0,1.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,4.0,2.0,57.0,35.0,24.0,7.0,8.0,4.0,7.0
2024-9900,United Cup,Hard,18,A,20240101,256,106432,134868,7-6(4) 6-4,3,RR,120.0,3.0,2.0,65.0,39.0,30.0,16.0,11.0,2.0,3.0,6.0,5.0,76.0,50.0,31.0,16.0,11.0,3.0,5.0
2024-9900,United Cup,Hard,18,A,20240101,254,134770,106432,6-4 6-1,3,RR,89.0,7.0,2.0,50.0,32.0,28.0,10.0,9.0,3.0,3.0,3.0,1.0,53.0,38.0,25.0,5.0,8.0,3.0,6.0
2024-9900,United Cup,Hard,18,A,20240101,252,134770,134868,6-3 6-4,3,RR,71.0,7.0,2.0,54.0,39.0,32.0,7.0,10.0,2.0,3.0,5.0,2.0,52.0,33.0,21.0,11.0,9.0,4.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,300,126094,200325,6-4 6-4,3,F,77.0,5.0,0.0,58.0,40.0,29.0,14.0,10.0,1.0,1.0,5.0,4.0,62.0,39.0,26.0,12.0,10.0,5.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,299,126094,209992,4-6 6-2 6-3,3,SF,129.0,12.0,1.0,98.0,55.0,38.0,29.0,14.0,13.0,14.0,4.0,3.0,78.0,45.0,27.0,19.0,13.0,5.0,8.0
2024-0336,Hong Kong,Hard,32,A,20240101,298,200325,124116,4-6 7-5 6-3,3,SF,132.0,9.0,1.0,88.0,60.0,48.0,16.0,16.0,2.0,4.0,11.0,1.0,100.0,56.0,40.0,22.0,15.0,9.0,12.0
2024-0336,Hong Kong,Hard,32,A,20240101,297,126094,209950,6-4 1-6 6-2,3,QF,112.0,8.0,0.0,65.0,41.0,31.0,15.0,12.0,4.0,6.0,12.0,7.0,92.0,53.0,38.0,15.0,13.0,7.0,10.0
2024-0336,Hong Kong,Hard,32,A,20240101,296,209992,126207,6-4 6-4,3,QF,89.0,3.0,1.0,54.0,25.0,19.0,23.0,10.0,1.0,1.0,12.0,2.0,56.0,34.0,28.0,11.0,10.0,6.0,8.0
2024-0336,Hong Kong,Hard,32,A,20240101,295,124116,105138,6-4 6-4,3,QF,84.0,21.0,0.0,57.0,43.0,35.0,7.0,10.0,0.0,0.0,0.0,2.0,68.0,50.0,35.0,8.0,10.0,4.0,6.0
2024-0336,Hong Kong,Hard,32,A,20240101,294,200325,200303,6-3 7-6(4),3,QF,108.0,5.0,0.0,76.0,44.0,33.0,19.0,11.0,5.0,6.0,3.0,2.0,63.0,45.0,30.0,10.0,10.0,1.0,3.0
2024-0336,Hong Kong,Hard,32,A,20240101,293,126094,106281,6-4 7-6(8),3,R16,110.0,10.0,3.0,69.0,38.0,31.0,18.0,11.0,1.0,3.0,4.0,2.0,91.0,62.0,43.0,10.0,11.0,7.0,10.0
2024-0336,Hong Kong,Hard,32,A,20240101,292,209950,144817,7-5 7-5,3,R16,120.0,3.0,5.0,78.0,51.0,38.0,11.0,12.0,5.0,7.0,9.0,4.0,94.0,55.0,37.0,16.0,12.0,11.0,15.0
2024-0336,Hong Kong,Hard,32,A,20240101,291,126207,200175,6-3 7-6(4),3,R16,92.0,8.0,1.0,69.0,42.0,37.0,14.0,11.0,3.0,3.0,3.0,1.0,70.0,39.0,28.0,18.0,10.0,2.0,3.0
2024-0336,Hong Kong,Hard,32,A,20240101,290,209992,122298,6-7(5) 7-6(2) 7-6(2),3,R16,212.0,2.0,6.0,129.0,70.0,51.0,31.0,18.0,5.0,8.0,13.0,1.0,116.0,72.0,50.0,25.0,18.0,4.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,289,124116,105526,6-7(4) 7-6(5) 7-6(2),3,R16,167.0,16.0,1.0,123.0,70.0,55.0,29.0,18.0,4.0,6.0,14.0,4.0,131.0,76.0,56.0,29.0,18.0,10.0,12.0
2024-0336,Hong Kong,Hard,32,A,20240101,288,105138,202103,7-5 6-3,3,R16,99.0,2.0,0.0,67.0,47.0,38.0,9.0,11.0,4.0,4.0,6.0,3.0,60.0,36.0,26.0,12.0,10.0,0.0,2.0
2024-0336,Hong Kong,Hard,32,A,20240101,287,200303,207518,6-4 6-3,3,R16,101.0,2.0,4.0,71.0,48.0,38.0,8.0,9.0,4.0,4.0,1.0,0.0,59.0,43.0,29.0,7.0,10.0,1.0,4.0
2024-0336,Hong Kong,Hard,32,A,20240101,286,200325,111575,7-6(2) 2-6 6-2,3,R16,145.0,5.0,3.0,96.0,58.0,41.0,20.0,14.0,5.0,8.0,10.0,0.0,99.0,55.0,37.0,22.0,14.0,5.0,8.0
2024-0336,Hong Kong,Hard,32,A,20240101,284,106281,106398,6-4 6-0,3,R32,69.0,2.0,2.0,46.0,29.0,21.0,11.0,8.0,2.0,3.0,1.0,1.0,42.0,30.0,13.0,5.0,8.0,2.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,283,144817,126964,6-4 6-4,3,R32,86.0,10.0,1.0,61.0,39.0,28.0,15.0,10.0,4.0,4.0,3.0,2.0,54.0,36.0,28.0,9.0,10.0,1.0,3.0
2024-0336,Hong Kong,Hard,32,A,20240101,282,209950,127339,6-3 4-6 6-1,3,R32,108.0,2.0,2.0,79.0,48.0,38.0,16.0,13.0,7.0,8.0,9.0,2.0,76.0,47.0,35.0,11.0,13.0,2.0,6.0
2024-0336,Hong Kong,Hard,32,A,20240101,280,200175,106121,6-3 6-2,3,R32,70.0,5.0,1.0,46.0,32.0,25.0,10.0,9.0,1.0,2.0,2.0,1.0,59.0,39.0,24.0,6.0,8.0,3.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,279,122298,208278,7-5 6-1,3,R32,97.0,3.0,3.0,71.0,42.0,30.0,14.0,10.0,10.0,12.0,1.0,1.0,59.0,26.0,20.0,10.0,9.0,5.0,10.0
2024-0336,Hong Kong,Hard,32,A,20240101,278,209992,111513,6-7(5) 6-3 7-6(8),3,R32,171.0,4.0,0.0,96.0,64.0,52.0,19.0,16.0,0.0,2.0,11.0,3.0,122.0,88.0,65.0,11.0,17.0,7.0,11.0
2024-0336,Hong Kong,Hard,32,A,20240101,277,105526,105227,3-6 7-6(4) 7-6(7),3,R32,186.0,11.0,4.0,124.0,69.0,49.0,26.0,16.0,6.0,10.0,20.0,12.0,130.0,64.0,49.0,31.0,17.0,7.0,10.0
2024-0336,Hong Kong,Hard,32,A,20240101,276,124116,111456,6-1 6-2,3,R32,61.0,6.0,2.0,44.0,27.0,20.0,8.0,8.0,0.0,1.0,0.0,3.0,46.0,30.0,17.0,4.0,7.0,2.0,7.0
2024-0336,Hong Kong,Hard,32,A,20240101,275,105138,206681,6-2 6-3,3,R32,68.0,3.0,0.0,56.0,38.0,27.0,12.0,9.0,5.0,6.0,7.0,4.0,44.0,30.0,21.0,3.0,8.0,2.0,6.0
2024-0336,Hong Kong,Hard,32,A,20240101,273,207518,208597,6-4 7-5,3,R32,106.0,4.0,2.0,63.0,42.0,32.0,13.0,11.0,2.0,3.0,6.0,4.0,80.0,46.0,32.0,16.0,11.0,5.0,8.0
2024-0336,Hong Kong,Hard,32,A,20240101,272,200303,132686,6-2 6-4,3,R32,88.0,4.0,2.0,57.0,45.0,33.0,6.0,9.0,2.0,3.0,4.0,2.0,65.0,34.0,20.0,15.0,9.0,2.0,6.0
2024-0336,Hong Kong,Hard,32,A,20240101,271,200325,126127,6-7(5) 6-2 6-1,3,R32,157.0,5.0,4.0,98.0,51.0,33.0,25.0,13.0,4.0,7.0,5.0,2.0,113.0,71.0,44.0,13.0,14.0,17.0,25.0
2024-8998,Adelaide,Hard,32,A,20240108,300,208103,207733,4-6 6-4 6-3,3,F,128.0,8.0,1.0,92.0,60.0,45.0,18.0,15.0,8.0,9.0,7.0,2.0,80.0,48.0,35.0,19.0,14.0,3.0,5.0
2024-8998,Adelaide,Hard,32,A,20240108,299,207733,122330,7-6(2) 6-4,3,SF,96.0,8.0,0.0,59.0,35.0,28.0,16.0,11.0,1.0,3.0,7.0,9.0,74.0,45.0,36.0,7.0,11.0,1.0,4.0
2024-8998,Adelaide,Hard,32,A,20240108,298,208103,200624,6-2 6-1,3,SF,72.0,7.0,1.0,58.0,39.0,30.0,11.0,8.0,3.0,3.0,0.0,2.0,56.0,33.0,18.0,9.0,7.0,10.0,14.0
2024-8998,Adelaide,Hard,32,A,20240108,297,207733,126205,6-1 6-4,3,QF,80.0,3.0,2.0,47.0,24.0,22.0,13.0,8.0,1.0,1.0,2.0,1.0,54.0,37.0,21.0,8.0,9.0,3.0,7.0
2024-8998,Adelaide,Hard,32,A,20240108,296,122330,207518,6-3 6-7(4) 7-5,3,QF,158.0,17.0,11.0,102.0,57.0,53.0,14.0,17.0,5.0,8.0,3.0,2.0,115.0,73.0,45.0,22.0,16.0,9.0,14.0
2024-8998,Adelaide,Hard,32,A,20240108,295,200624,106331,6-4 6-4,3,QF,89.0,10.0,1.0,64.0,38.0,31.0,16.0,10.0,3.0,3.0,5.0,4.0,66.0,43.0,30.0,11.0,10.0,5.0,7.0
2024-8998,Adelaide,Hard,32,A,20240108,294,208103,111797,6-4 7-5,3,QF,100.0,9.0,0.0,58.0,39.0,31.0,11.0,11.0,0.0,1.0,9.0,3.0,77.0,52.0,33.0,10.0,11.0,4.0,7.0
2024-8998,Adelaide,Hard,32,A,20240108,293,126205,106109,6-3 6-2,3,R16,69.0,11.0,0.0,51.0,31.0,25.0,15.0,9.0,2.0,2.0,5.0,0.0,53.0,35.0,22.0,7.0,8.0,2.0,5.0
2024-8998,Adelaide,Hard,32,A,20240108,292,207733,200175,5-7 7-6(9) 7-6(7),3,R16,219.0,12.0,4.0,137.0,76.0,57.0,30.0,18.0,9.0,12.0,12.0,5.0,122.0,69.0,47.0,32.0,18.0,1.0,3.0
2024-8998,Adelaide,Hard,32,A,20240108,291,207518,111442,6-4 6-1,3,R16,85.0,3.0,0.0,33.0,24.0,23.0,9.0,8.0,0.0,0.0,5.0,0.0,66.0,36.0,20.0,14.0,9.0,3.0,7.0
2024-8998,Adelaide,Hard,32,A,20240108,290,122330,105554,4-6 6-2 6-1,3,R16,122.0,21.0,13.0,85.0,49.0,40.0,14.0,13.0,8.0,10.0,2.0,4.0,68.0,39.0,23.0,13.0,12.0,2.0,7.0
2024-8998,Adelaide,Hard,32,A,20240108,289,106331,207686,6-3 6-1,3,R16,60.0,12.0,1.0,45.0,28.0,25.0,10.0,8.0,0.0,0.0,3.0,1.0,46.0,31.0,18.0,6.0,8.0,4.0,8.0
2024-8998,Adelaide,Hard,32,A,20240108,288,200624,132283,6-4 7-6(10),3,R16,104.0,6.0,3.0,65.0,35.0,32.0,15.0,11.0,3.0,5.0,4.0,2.0,74.0,52.0,34.0,11.0,11.0,1.0,4.0
2024-8998,Adelaide,Hard,32,A,20240108,287,208103,105583,7-5 4-6 6-3,3,R16,139.0,8.0,6.0,100.0,58.0,43.0,21.0,16.0,9.0,12.0,2.0,1.0,87.0,64.0,42.0,10.0,15.0,6.0,10.0
2024-8998,Adelaide,Hard,32,A,20240108,286,111797,208286,6-7(5) 7-6(7) 6-4,3,R16,207.0,9.0,3.0,124.0,81.0,62.0,19.0,17.0,5.0,8.0,17.0,5.0,121.0,74.0,57.0,21.0,17.0,6.0,10.0
2024-8998,Adelaide,Hard,32,A,20240108,284,106109,205734,6-3 6-2,3,R32,72.0,7.0,1.0,39.0,27.0,22.0,10.0,8.0,0.0,0.0,2.0,6.0,71.0,46.0,28.0,9.0,9.0,7.0,11.0
2024-8998,Adelaide,Hard,32,A,20240108,283,200175,111456,6-4 6-2,3,R32,73.0,2.0,2.0,47.0,34.0,23.0,7.0,9.0,3.0,5.0,2.0,5.0,55.0,36.0,21.0,5.0,9.0,4.0,9.0
2024-8998,Adelaide,Hard,32,A,20240108,282,207733,202104,6-1 6-3,3,R32,78.0,5.0,2.0,51.0,31.0,25.0,10.0,8.0,0.0,0.0,1.0,1.0,49.0,34.0,19.0,7.0,8.0,1.0,5.0
2024-8998,Adelaide,Hard,32,A,20240108,280,111442,207680,6-2 6-2,3,R32,84.0,1.0,0.0,42.0,26.0,22.0,11.0,8.0,3.0,3.0,2.0,4.0,56.0,35.0,16.0,13.0,8.0,4.0,8.0
2024-8998,Adelaide,Hard,32,A,20240108,279,105554,208014,6-3 6-4,3,R32,98.0,5.0,2.0,57.0,36.0,31.0,12.0,10.0,2.0,2.0,4.0,5.0,69.0,41.0,27.0,13.0,9.0,9.0,11.0
2024-8998,Adelaide,Hard,32,A,20240108,278,122330,210317,6-2 6-3,3,R32,77.0,2.0,5.0,48.0,29.0,25.0,8.0,8.0,2.0,3.0,1.0,1.0,56.0,29.0,12.0,16.0,9.0,1.0,6.0
2024-8998,Adelaide,Hard,32,A,20240108,277,207686,144869,7-6(4) 4-6 7-5,3,R32,176.0,5.0,4.0,117.0,72.0,50.0,19.0,17.0,9.0,14.0,9.0,2.0,110.0,73.0,50.0,16.0,17.0,6.0,11.0
2024-8998,Adelaide,Hard,32,A,20240108,276,106331,126239,6-4 6-4,3,R32,87.0,9.0,2.0,50.0,31.0,29.0,10.0,10.0,0.0,1.0,10.0,2.0,69.0,49.0,34.0,6.0,10.0,2.0,5.0
2024-8998,Adelaide,Hard,32,A,20240108,275,132283,105870,7-5 2-6 7-6(9),3,R32,172.0,14.0,2.0,103.0,76.0,64.0,8.0,16.0,2.0,4.0,5.0,0.0,111.0,71.0,50.0,27.0,16.0,3.0,4.0
2024-8998,Adelaide,Hard,32,A,20240108,273,208103,200443,6-1 6-3,3,R32,70.0,9.0,3.0,51.0,25.0,21.0,14.0,8.0,4.0,4.0,4.0,0.0,51.0,35.0,23.0,3.0,8.0,5.0,9.0
2024-8998,Adelaide,Hard,32,A,20240108,272,105583,106423,3-6 6-1 6-4,3,R32,131.0,3.0,0.0,84.0,62.0,41.0,14.0,13.0,4.0,6.0,4.0,4.0,81.0,56.0,36.0,10.0,13.0,5.0,9.0
2024-8998,Adelaide,Hard,32,A,20240108,271,208286,126523,6-4 6-3,3,R32,101.0,1.0,4.0,59.0,26.0,17.0,22.0,10.0,0.0,2.0,1.0,1.0,71.0,49.0,25.0,11.0,9.0,6.0,10.0
