season,season_type,team_id_home,game_id,game_date,min,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,team_id_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away
2022-2023,Regular Season,1610612761,22200008,2022-10-19,240,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,1610612739,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105
2022-2023,Regular Season,1610612763,22200009,2022-10-19,265,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,115,1610612752,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112
2022-2023,Regular Season,1610612748,22200007,2022-10-19,240,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,1610612741,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,116
2022-2023,Regular Season,1610612737,22200005,2022-10-19,240,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,1610612745,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,107
2022-2023,Regular Season,1610612755,22200015,2022-10-2,240,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,1610612749,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,90
2022-2023,Regular Season,1610612747,22200016,2022-10-2,240,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,1610612746,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,103
2022-2023,Regular Season,1610612745,22200024,2022-10-21,240,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,1610612763,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129
2022-2023,Regular Season,1610612751,22200021,2022-10-21,240,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,109,1610612761,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,15,21,105
2022-2023,Regular Season,1610612757,22200027,2022-10-21,265,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,21,19,113,1610612756,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,17,29,111
2022-2023,Regular Season,1610612750,22200025,2022-10-21,265,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,1610612762,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,132
2022-2023,Regular Season,1610612737,22200020,2022-10-21,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,1610612753,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,98
2022-2023,Regular Season,1610612744,22200026,2022-10-21,240,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,19,23,123,1610612743,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128
2022-2023,Regular Season,1610612754,22200018,2022-10-21,240,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,134,1610612759,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,137
2022-2023,Regular Season,1610612766,22200017,2022-10-21,240,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,14,24,112,1610612740,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,124
2022-2023,Regular Season,1610612752,22200023,2022-10-21,240,50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,130,1610612765,39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,106
2022-2023,Regular Season,1610612748,22200022,2022-10-21,240,42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,10,18,104,1610612738,41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,111
2022-2023,Regular Season,1610612764,22200019,2022-10-21,240,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,17,22,102,1610612741,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100
2022-2023,Regular Season,1610612742,22200034,2022-10-22,240,45,90,0.5,17,39,0.436,30,36,0.833,15,37,52,23,7,7,15,24,137,1610612763,34,79,0.43,9,33,0.273,19,24,0.792,6,23,29,20,4,8,18,29,96
2022-2023,Regular Season,1610612741,22200032,2022-10-22,240,34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,96,1610612739,48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,18,17,128
2022-2023,Regular Season,1610612755,22200028,2022-10-22,240,37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,105,1610612759,43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,114
2022-2023,Regular Season,1610612749,22200033,2022-10-22,240,48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,125,1610612745,36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,14,22,105
2022-2023,Regular Season,1610612753,22200030,2022-10-22,240,45,95,0.474,15,34,0.441,15,23,0.652,12,36,48,21,5,7,9,24,120,1610612738,42,87,0.483,19,47,0.404,23,28,0.821,7,30,37,24,5,6,8,21,126
2022-2023,Regular Season,1610612754,22200029,2022-10-22,240,45,103,0.437,16,42,0.381,18,24,0.75,20,39,59,28,7,15,11,21,124,1610612765,37,95,0.389,18,42,0.429,23,30,0.767,17,36,53,26,5,3,14,20,115
2022-2023,Regular Season,1610612758,22200036,2022-10-22,240,40,85,0.471,14,35,0.4,15,26,0.577,9,30,39,24,5,5,12,21,109,1610612746,41,81,0.506,9,22,0.409,20,22,0.909,5,35,40,24,8,3,13,21,111
2022-2023,Regular Season,1610612743,22200035,2022-10-22,240,42,85,0.494,20,38,0.526,18,31,0.581,9,37,46,33,5,6,18,21,122,1610612760,42,94,0.447,15,38,0.395,18,23,0.783,10,37,47,29,10,5,13,27,117
2022-2023,Regular Season,1610612748,22200031,2022-10-22,240,38,76,0.5,11,30,0.367,25,27,0.926,6,38,44,28,2,2,16,26,112,1610612761,37,87,0.425,14,39,0.359,21,28,0.75,8,29,37,24,9,5,6,25,109
2022-2023,Regular Season,1610612760,22200041,2022-10-23,240,41,94,0.436,9,41,0.22,15,21,0.714,11,31,42,24,7,4,11,15,106,1610612750,46,88,0.523,10,34,0.294,14,22,0.636,12,42,54,24,9,3,15,17,116
2022-2023,Regular Season,1610612746,22200043,2022-10-23,240,36,82,0.439,9,32,0.281,14,20,0.7,9,34,43,16,10,0,15,18,95,1610612756,43,93,0.462,15,42,0.357,11,12,0.917,13,36,49,29,5,3,13,18,112
2022-2023,Regular Season,1610612747,22200037,2022-10-23,240,41,92,0.446,6,33,0.182,16,20,0.8,10,30,40,26,9,9,13,24,104,1610612757,37,84,0.44,10,27,0.37,22,27,0.815,13,39,52,19,6,5,19,20,106
2022-2023,Regular Season,1610612737,22200038,2022-10-23,240,39,95,0.411,8,35,0.229,23,28,0.821,16,29,45,23,8,9,12,21,109,1610612766,47,90,0.522,11,26,0.423,21,30,0.7,14,38,52,28,7,6,14,24,126
2022-2023,Regular Season,1610612740,22200040,2022-10-23,265,48,102,0.471,8,27,0.296,17,22,0.773,14,31,45,30,8,6,17,22,121,1610612762,43,98,0.439,13,38,0.342,23,28,0.821,15,29,44,29,13,6,17,20,122
2022-2023,Regular Season,1610612744,22200042,2022-10-23,240,45,87,0.517,14,33,0.424,26,36,0.722,6,31,37,24,7,5,13,21,130,1610612758,47,100,0.47,11,43,0.256,20,25,0.8,13,38,51,31,10,2,16,29,125
2022-2023,Regular Season,1610612739,22200039,2022-10-23,265,41,96,0.427,13,33,0.394,22,25,0.88,16,32,48,19,10,5,13,20,117,1610612764,43,87,0.494,12,28,0.429,9,15,0.6,4,31,35,25,9,4,20,24,107
2022-2023,Regular Season,1610612755,22200044,2022-10-24,240,38,80,0.475,19,43,0.442,25,28,0.893,7,32,39,25,8,7,8,20,120,1610612754,38,90,0.422,12,44,0.273,18,23,0.783,14,33,47,27,3,4,13,23,106
2022-2023,Regular Season,1610612752,22200046,2022-10-24,240,43,93,0.462,11,37,0.297,18,25,0.72,18,32,50,24,7,3,14,24,115,1610612753,36,86,0.419,7,35,0.2,23,27,0.852,13,28,41,14,6,4,13,23,102
2022-2023,Regular Season,1610612748,22200045,2022-10-24,240,29,83,0.349,8,34,0.235,24,27,0.889,8,38,46,19,5,3,12,15,90,1610612761,34,86,0.395,14,32,0.438,16,20,0.8,10,42,52,22,6,6,12,22,98
2022-2023,Regular Season,1610612741,22200047,2022-10-24,240,42,87,0.483,10,21,0.476,26,29,0.897,14,46,60,29,4,6,14,18,120,1610612738,37,100,0.37,18,48,0.375,10,12,0.833,14,31,45,26,5,7,11,24,102
2022-2023,Regular Season,1610612763,22200049,2022-10-24,240,47,94,0.5,16,34,0.471,24,31,0.774,12,26,38,21,7,3,9,22,134,1610612751,47,87,0.54,9,29,0.31,21,26,0.808,9,26,35,27,4,7,11,30,124
2022-2023,Regular Season,1610612750,22200050,2022-10-24,240,38,86,0.442,8,31,0.258,22,24,0.917,10,40,50,24,7,5,16,18,106,1610612759,48,105,0.457,12,37,0.324,7,13,0.538,14,36,50,37,11,0,13,21,115
2022-2023,Regular Season,1610612757,22200051,2022-10-24,240,48,83,0.578,16,35,0.457,23,31,0.742,9,36,45,23,3,6,10,15,135,1610612743,45,91,0.495,12,31,0.387,8,14,0.571,10,28,38,28,4,1,8,28,110
2022-2023,Regular Season,1610612745,22200048,2022-10-24,240,38,90,0.422,11,35,0.314,27,32,0.844,17,30,47,17,7,7,16,20,114,1610612762,44,93,0.473,11,32,0.344,9,16,0.563,18,31,49,23,8,10,20,27,108
2022-2023,Regular Season,1610612740,22200053,2022-10-25,240,44,76,0.579,12,27,0.444,13,18,0.722,4,22,26,25,7,3,14,21,113,1610612742,41,82,0.5,12,39,0.308,17,24,0.708,11,26,37,18,8,5,12,16,111
2022-2023,Regular Season,1610612756,22200055,2022-10-25,240,47,92,0.511,12,29,0.414,28,34,0.824,14,34,48,31,8,4,14,19,134,1610612744,41,91,0.451,10,35,0.286,13,17,0.765,10,30,40,28,7,7,16,28,105
2022-2023,Regular Season,1610612764,22200052,2022-10-25,240,44,85,0.518,10,33,0.303,22,26,0.846,9,38,47,26,7,7,12,21,120,1610612765,36,88,0.409,8,28,0.286,19,25,0.76,11,30,41,12,6,1,13,26,99
2022-2023,Regular Season,1610612760,22200054,2022-10-25,240,42,110,0.382,4,30,0.133,20,25,0.8,21,39,60,19,12,8,6,13,108,1610612746,35,83,0.422,10,31,0.323,14,18,0.778,7,40,47,21,5,14,19,18,94
2022-2023,Regular Season,1610612752,22200058,2022-10-26,265,52,97,0.536,11,30,0.367,19,22,0.864,12,34,46,26,5,11,16,24,134,1610612766,49,99,0.495,13,31,0.419,20,30,0.667,9,33,42,31,9,5,15,24,131
2022-2023,Regular Season,1610612761,22200059,2022-10-26,240,46,84,0.548,16,37,0.432,11,14,0.786,6,33,39,32,9,5,9,21,119,1610612755,40,79,0.506,16,36,0.444,13,19,0.684,4,30,34,29,6,2,13,12,109
2022-2023,Regular Season,1610612762,22200063,2022-10-26,240,38,90,0.422,13,45,0.289,20,30,0.667,11,42,53,28,11,5,16,28,109,1610612745,36,94,0.383,11,40,0.275,18,24,0.75,14,35,49,19,7,2,19,30,101
2022-2023,Regular Season,1610612757,22200065,2022-10-26,240,34,78,0.436,12,37,0.324,18,26,0.692,11,27,38,20,9,4,19,17,98,1610612748,44,87,0.506,15,38,0.395,16,19,0.842,15,31,46,34,13,2,18,22,119
2022-2023,Regular Season,1610612743,22200064,2022-10-26,240,42,92,0.457,9,34,0.265,17,21,0.81,9,45,54,34,12,5,11,17,110,1610612747,40,90,0.444,8,30,0.267,11,16,0.688,7,40,47,25,8,4,14,16,99
2022-2023,Regular Season,1610612739,22200056,2022-10-26,240,36,87,0.414,10,33,0.303,21,30,0.7,12,31,43,25,6,3,13,22,103,1610612753,35,81,0.432,6,24,0.25,16,21,0.762,10,33,43,19,6,6,17,29,92
2022-2023,Regular Season,1610612750,22200062,2022-10-26,240,52,80,0.65,20,34,0.588,10,16,0.625,0,30,30,37,9,6,17,19,134,1610612759,43,95,0.453,16,36,0.444,20,22,0.909,14,27,41,34,6,2,16,18,122
2022-2023,Regular Season,1610612749,22200060,2022-10-26,240,39,88,0.443,10,36,0.278,22,29,0.759,14,40,54,21,8,12,19,22,110,1610612751,34,86,0.395,7,27,0.259,24,30,0.8,7,30,37,23,7,6,14,24,99
2022-2023,Regular Season,1610612741,22200061,2022-10-26,240,43,87,0.494,16,30,0.533,22,24,0.917,9,35,44,34,10,5,18,25,124,1610612754,37,86,0.43,16,40,0.4,19,24,0.792,6,32,38,31,5,12,20,18,109
2022-2023,Regular Season,1610612765,22200057,2022-10-26,240,42,91,0.462,14,32,0.438,15,22,0.682,10,30,40,23,4,6,14,25,113,1610612737,45,91,0.495,8,22,0.364,20,25,0.8,10,36,46,22,6,12,12,20,118
2022-2023,Regular Season,1610612751,22200066,2022-10-27,265,43,93,0.462,12,35,0.343,27,30,0.9,13,32,45,20,10,6,15,28,125,1610612742,41,81,0.506,20,40,0.5,27,35,0.771,7,30,37,25,8,4,18,23,129
2022-2023,Regular Season,1610612758,22200069,2022-10-27,240,40,83,0.482,12,38,0.316,18,22,0.818,9,31,40,28,5,2,13,20,110,1610612763,49,92,0.533,14,33,0.424,13,18,0.722,11,32,43,27,5,3,14,18,125
2022-2023,Regular Season,1610612744,22200068,2022-10-27,240,46,92,0.5,18,46,0.391,13,15,0.867,16,34,50,30,4,2,21,13,123,1610612748,39,88,0.443,14,43,0.326,18,22,0.818,8,23,31,25,16,5,12,15,110
2022-2023,Regular Season,1610612760,22200067,2022-10-27,240,47,95,0.495,17,38,0.447,7,8,0.875,13,23,36,27,10,4,12,21,118,1610612746,44,82,0.537,9,28,0.321,13,18,0.722,10,34,44,21,6,5,20,17,110
2022-2023,Regular Season,1610612750,22200076,2022-10-28,240,41,99,0.414,13,40,0.325,16,24,0.667,14,35,49,27,13,8,10,21,111,1610612747,37,89,0.416,9,29,0.31,19,27,0.704,12,43,55,20,8,5,22,21,102
2022-2023,Regular Season,1610612759,22200077,2022-10-28,240,46,86,0.535,16,38,0.421,21,26,0.808,8,34,42,37,7,3,21,17,129,1610612741,47,99,0.475,9,27,0.333,21,26,0.808,15,27,42,20,13,3,13,19,124
2022-2023,Regular Season,1610612743,22200078,2022-10-28,240,39,85,0.459,17,37,0.459,22,34,0.647,17,41,58,18,2,4,12,18,117,1610612762,38,91,0.418,10,39,0.256,15,19,0.789,8,30,38,24,7,8,10,30,101
2022-2023,Regular Season,1610612753,22200071,2022-10-28,240,42,85,0.494,10,37,0.27,19,26,0.731,5,43,48,28,8,5,12,22,113,1610612766,33,86,0.384,11,38,0.289,16,24,0.667,10,37,47,21,3,4,15,18,93
2022-2023,Regular Season,1610612738,22200072,2022-10-28,265,42,82,0.512,13,33,0.394,26,32,0.813,5,29,34,28,9,2,19,27,123,1610612739,45,87,0.517,16,35,0.457,26,34,0.765,9,33,42,18,5,2,16,28,132
2022-2023,Regular Season,1610612764,22200074,2022-10-28,240,41,86,0.477,12,30,0.4,23,28,0.821,9,29,38,25,5,3,13,23,117,1610612754,41,81,0.506,15,29,0.517,30,33,0.909,5,36,41,30,4,7,14,19,127
2022-2023,Regular Season,1610612756,22200079,2022-10-28,240,48,92,0.522,10,33,0.303,18,20,0.9,14,33,47,33,7,7,12,18,124,1610612740,38,86,0.442,15,37,0.405,20,22,0.909,9,24,33,25,10,1,14,21,111
2022-2023,Regular Season,1610612757,22200080,2022-10-28,240,48,90,0.533,13,35,0.371,16,20,0.8,11,34,45,30,9,6,16,19,125,1610612745,40,94,0.426,14,38,0.368,17,21,0.81,13,26,39,23,10,6,17,18,111
2022-2023,Regular Season,1610612765,22200070,2022-10-28,240,37,86,0.43,7,32,0.219,31,38,0.816,14,28,42,18,2,4,11,22,112,1610612737,55,97,0.567,12,29,0.414,14,18,0.778,10,35,45,31,5,8,7,26,136
2022-2023,Regular Season,1610612761,22200073,2022-10-28,240,33,86,0.384,9,39,0.231,15,24,0.625,15,30,45,20,9,5,17,15,90,1610612755,43,82,0.524,16,38,0.421,10,11,0.909,7,34,41,25,11,6,15,20,112
2022-2023,Regular Season,1610612749,22200075,2022-10-28,240,42,109,0.385,13,45,0.289,22,27,0.815,19,41,60,23,8,8,7,23,119,1610612752,37,93,0.398,12,35,0.343,22,32,0.688,13,41,54,19,6,5,13,19,108
2022-2023,Regular Season,1610612766,22200082,2022-10-29,265,43,102,0.422,10,31,0.323,24,31,0.774,15,40,55,32,2,2,10,14,120,1610612744,44,100,0.44,13,44,0.295,12,16,0.75,10,39,49,31,8,6,10,31,113
2022-2023,Regular Season,1610612749,22200085,2022-10-29,240,45,92,0.489,14,36,0.389,19,29,0.655,14,35,49,24,8,5,12,18,123,1610612737,45,94,0.479,13,29,0.448,12,15,0.8,12,30,42,19,5,2,13,23,115
2022-2023,Regular Season,1610612758,22200081,2022-10-29,240,42,76,0.553,14,31,0.452,21,29,0.724,6,37,43,27,1,6,21,29,119,1610612748,38,89,0.427,11,28,0.393,26,31,0.839,9,25,34,18,7,3,9,25,113
2022-2023,Regular Season,1610612741,22200084,2022-10-29,240,36,80,0.45,11,31,0.355,26,29,0.897,9,31,40,22,7,3,18,20,109,1610612755,39,79,0.494,14,29,0.483,22,27,0.815,8,33,41,28,8,6,19,22,114
2022-2023,Regular Season,1610612762,22200087,2022-10-29,240,45,87,0.517,19,44,0.432,15,20,0.75,10,24,34,30,8,6,20,17,124,1610612763,50,88,0.568,12,27,0.444,11,15,0.733,10,30,40,24,11,5,20,26,123
2022-2023,Regular Season,1610612742,22200086,2022-10-29,265,38,95,0.4,8,40,0.2,27,34,0.794,12,37,49,17,8,5,16,30,111,1610612760,44,89,0.494,5,25,0.2,24,31,0.774,9,38,47,25,9,6,15,29,117
2022-2023,Regular Season,1610612751,22200083,2022-10-29,240,41,82,0.5,14,39,0.359,20,26,0.769,6,28,34,29,6,9,9,20,116,1610612754,40,94,0.426,23,46,0.5,22,26,0.846,17,36,53,31,7,1,12,25,125
2022-2023,Regular Season,1610612739,22200090,2022-10-3,240,41,89,0.461,23,50,0.46,16,19,0.842,10,33,43,33,3,5,14,22,121,1610612752,45,92,0.489,10,27,0.37,8,16,0.5,12,33,45,26,9,2,14,25,108
2022-2023,Regular Season,1610612765,22200091,2022-10-3,240,40,83,0.482,14,33,0.424,34,38,0.895,12,35,47,24,4,3,16,25,128,1610612744,39,92,0.424,12,39,0.308,24,25,0.96,13,29,42,23,8,4,15,24,114
2022-2023,Regular Season,1610612756,22200094,2022-10-3,240,45,84,0.536,12,40,0.3,22,30,0.733,10,26,36,29,9,8,12,22,124,1610612745,38,87,0.437,11,34,0.324,22,26,0.846,17,32,49,18,7,1,15,25,109
2022-2023,Regular Season,1610612738,22200089,2022-10-3,240,36,79,0.456,21,47,0.447,19,20,0.95,4,43,47,29,4,5,14,15,112,1610612764,38,98,0.388,7,32,0.219,11,16,0.688,15,36,51,22,5,6,10,20,94
2022-2023,Regular Season,1610612747,22200095,2022-10-3,240,46,96,0.479,13,30,0.433,16,20,0.8,13,38,51,24,5,5,9,17,121,1610612743,41,96,0.427,15,40,0.375,13,18,0.722,13,35,48,24,3,8,9,15,110
2022-2023,Regular Season,1610612742,22200093,2022-10-3,240,41,83,0.494,11,35,0.314,21,28,0.75,5,32,37,15,10,1,4,22,114,1610612753,37,81,0.457,11,29,0.379,20,27,0.741,11,36,47,20,2,5,12,23,105
2022-2023,Regular Season,1610612746,22200088,2022-10-3,240,36,86,0.419,11,39,0.282,8,13,0.615,8,31,39,24,3,6,15,15,91,1610612740,46,93,0.495,15,36,0.417,5,8,0.625,12,38,50,32,9,1,13,15,112
2022-2023,Regular Season,1610612759,22200092,2022-10-3,240,36,86,0.419,16,40,0.4,19,25,0.76,14,38,52,27,6,7,20,21,107,1610612750,40,99,0.404,4,29,0.138,14,20,0.7,16,29,45,21,11,7,11,23,98
2022-2023,Regular Season,1610612761,22200099,2022-10-31,240,46,92,0.5,14,34,0.412,33,40,0.825,12,32,44,25,13,9,7,22,139,1610612737,39,84,0.464,11,29,0.379,20,25,0.8,7,30,37,28,1,4,18,27,109
2022-2023,Regular Season,1610612751,22200098,2022-10-31,240,43,80,0.538,11,30,0.367,19,20,0.95,6,33,39,26,11,9,20,18,116,1610612754,41,87,0.471,11,39,0.282,16,23,0.696,10,28,38,23,11,5,24,24,109
2022-2023,Regular Season,1610612762,22200101,2022-10-31,240,42,89,0.472,19,47,0.404,18,22,0.818,11,37,48,26,10,6,16,30,121,1610612763,38,92,0.413,6,26,0.231,23,42,0.548,18,34,52,14,8,4,16,17,105
2022-2023,Regular Season,1610612749,22200100,2022-10-31,240,38,87,0.437,11,40,0.275,23,29,0.793,14,36,50,20,5,5,16,21,110,1610612765,41,92,0.446,8,29,0.276,18,21,0.857,13,30,43,19,9,3,12,24,108
2022-2023,Regular Season,1610612746,22200102,2022-10-31,240,37,87,0.425,9,36,0.25,12,17,0.706,8,38,46,23,7,10,14,18,95,1610612745,34,88,0.386,8,28,0.286,17,23,0.739,7,37,44,17,9,8,15,16,93
2022-2023,Regular Season,1610612764,22200097,2022-10-31,240,38,81,0.469,10,25,0.4,25,26,0.962,9,32,41,22,8,4,16,18,111,1610612755,46,83,0.554,12,30,0.4,14,20,0.7,4,33,37,26,14,3,14,20,118
2022-2023,Regular Season,1610612766,22200096,2022-10-31,240,43,84,0.512,14,29,0.483,8,14,0.571,6,32,38,31,11,6,21,26,108,1610612758,37,85,0.435,17,44,0.386,24,28,0.857,10,32,42,26,8,4,19,19,115
2022-2023,Regular Season,1610612756,22200106,2022-11-01,240,41,89,0.461,17,43,0.395,17,22,0.773,7,27,34,31,9,8,11,20,116,1610612750,37,87,0.425,13,34,0.382,20,24,0.833,10,32,42,24,5,4,18,24,107
2022-2023,Regular Season,1610612760,22200105,2022-11-01,240,45,95,0.474,10,34,0.294,16,20,0.8,8,28,36,28,13,9,17,17,116,1610612753,39,87,0.448,10,29,0.345,20,20,1.0,12,37,49,20,7,10,25,14,108
2022-2023,Regular Season,1610612751,22200103,2022-11-01,240,36,74,0.486,12,32,0.375,15,19,0.789,4,34,38,27,4,7,18,20,99,1610612741,39,89,0.438,12,30,0.4,18,21,0.857,11,33,44,20,8,4,10,13,108
2022-2023,Regular Season,1610612748,22200104,2022-11-01,240,40,88,0.455,16,42,0.381,20,20,1.0,9,30,39,32,7,3,15,16,116,1610612744,39,84,0.464,18,49,0.367,13,17,0.765,10,31,41,31,8,5,20,22,109
2022-2023,Regular Season,1610612755,22200108,2022-11-02,240,39,84,0.464,19,36,0.528,14,20,0.7,6,26,32,25,3,1,8,25,111,1610612764,45,78,0.577,5,21,0.238,26,32,0.813,7,36,43,27,4,9,8,18,121
2022-2023,Regular Season,1610612747,22200117,2022-11-02,265,45,98,0.459,10,36,0.278,20,23,0.87,11,45,56,30,6,8,18,17,120,1610612740,47,102,0.461,8,25,0.32,15,21,0.714,11,40,51,35,10,5,14,20,117
2022-2023,Regular Season,1610612745,22200112,2022-11-02,240,37,88,0.42,11,38,0.289,16,21,0.762,16,34,50,17,9,5,19,22,101,1610612746,41,84,0.488,12,33,0.364,15,19,0.789,9,34,43,20,10,6,15,20,109
2022-2023,Regular Season,1610612757,22200116,2022-11-02,240,36,89,0.404,13,33,0.394,21,26,0.808,16,30,46,27,5,3,20,17,106,1610612763,38,83,0.458,13,28,0.464,22,27,0.815,10,36,46,28,7,5,15,19,111
2022-2023,Regular Season,1610612752,22200110,2022-11-02,240,37,90,0.411,10,36,0.278,15,20,0.75,12,40,52,23,3,9,17,19,99,1610612737,44,107,0.411,12,34,0.353,12,16,0.75,17,34,51,28,11,4,9,18,112
2022-2023,Regular Season,1610612742,22200115,2022-11-02,240,42,84,0.5,11,38,0.289,8,15,0.533,7,30,37,20,9,4,12,14,103,1610612762,39,84,0.464,10,30,0.333,12,14,0.857,12,28,40,28,6,1,17,17,100
2022-2023,Regular Season,1610612741,22200111,2022-11-02,240,38,88,0.432,14,31,0.452,16,18,0.889,11,40,51,28,6,9,20,18,106,1610612766,36,92,0.391,7,32,0.219,9,16,0.563,13,34,47,22,12,12,17,14,88
