person_id,first_name,last_name,birthdate,height,weight,jersey,position,team_id
1630692,Jordan,Goodwin,1998-10-23,6-3,200,7,Guard,1610612756
203932,Aaron,Gordon,1995-09-16,6-8,235,50,Forward,1610612743
1628984,Devonte',Graham,1995-02-22,6-1,195,4,Guard,1610612759
1630564,RaiQuan,Gray,1999-07-07,6-7,269,0,Forward,1610612751
1631260,AJ,Green,1999-09-27,6-5,190,20,Guard,1610612749
201980,Danny,Green,1987-06-22,6-6,215,14,Guard,1610612739
203110,Draymond,Green,1990-03-04,6-6,230,23,Forward,1610612744
203210,JaMychal,Green,1990-06-21,6-9,227,1,Forward-Center,1610612744
1630224,Jalen,Green,2002-02-09,6-4,186,4,Guard,1610612745
1629750,Javonte,Green,1993-07-23,6-5,205,24,Guard,1610612741
201145,Jeff,Green,1986-08-28,6-8,235,32,Forward,1610612743
1630182,Josh,Green,2000-11-16,6-7,200,8,Guard,1610612742
1631100,AJ,Griffin,2003-08-25,6-6,220,14,Forward,1610612737
201933,Blake,Griffin,1989-03-16,6-9,250,91,Forward,1610612738
1629656,Quentin,Grimes,2000-05-08,6-5,210,6,Guard,1610612752
1629060,Rui,Hachimura,1998-02-08,6-8,230,28,Forward,1610612747
1630169,Tyrese,Haliburton,2000-02-29,6-5,185,0,Guard,1610612754
203501,Tim,Hardaway Jr.,1992-03-16,6-5,205,11,Guard-Forward,1610612742
201935,James,Harden,1989-08-26,6-5,220,1,Guard,1610612755
1630702,Jaden,Hardy,2002-07-05,6-3,198,3,Guard,1610612742
1631199,Ron,Harper Jr.,2000-04-12,6-5,245,8,Forward,1610612761
1626149,Montrezl,Harrell,1994-01-26,6-7,240,5,Forward-Center,1610612755
203914,Gary,Harris,1994-09-14,6-4,210,14,Guard,1610612753
203925,Joe,Harris,1991-09-06,6-6,220,12,Guard-Forward,1610612751
1630284,Kevon,Harris,1997-06-24,6-6,216,7,Guard,1610612753
202699,Tobias,Harris,1992-07-15,6-7,226,12,Forward,1610612755
1628392,Isaiah,Hartenstein,1998-05-05,7-0,250,55,Center-Forward,1610612752
2617,Udonis,Haslem,1980-06-09,6-7,235,40,Forward,1610612748
1630573,Sam,Hauser,1997-12-08,6-7,217,30,Forward,1610612738
1629637,Jaxson,Hayes,2000-05-23,7-0,220,10,Center-Forward,1610612740
1630165,Killian,Hayes,2001-07-27,6-5,195,7,Guard,1610612765
202330,Gordon,Hayward,1990-03-23,6-7,225,20,Forward,1610612766
1626195,Willy,Hernangomez,1994-05-27,6-11,250,9,Center-Forward,1610612740
1627741,Buddy,Hield,1992-12-17,6-4,220,24,Guard,1610612754
1629312,Haywood,Highsmith,1996-12-09,6-5,220,24,Forward,1610612748
201588,George,Hill,1986-05-04,6-4,188,7,Guard,1610612754
1628988,Aaron,Holiday,1996-09-3,6-0,185,3,Guard,1610612737
201950,Jrue,Holiday,1990-06-12,6-5,205,21,Guard,1610612749
203200,Justin,Holiday,1989-04-05,6-6,180,0,Forward-Guard,1610612742
1626158,Richaun,Holmes,1993-10-15,6-8,235,22,Forward,1610612758
1631096,Chet,Holmgren,2002-05-01,7-1,195,7,Center-Forward,1610612760
201143,Al,Horford,1986-06-03,6-9,240,42,Center-Forward,1610612738
1629659,Talen,Horton-Tucker,2000-11-25,6-4,234,0,Guard,1610612762
1627863,Danuel,House Jr.,1993-06-07,6-6,220,25,Forward-Guard,1610612755
1631216,Caleb,Houstan,2003-01-09,6-8,205,2,Guard,1610612753
1630643,Jay,Huff,1997-08-25,7-1,240,34,Center,1610612764
1629631,De'Andre,Hunter,1997-12-02,6-8,221,12,Forward-Guard,1610612737
1630538,Bones,Hyland,2000-09-14,6-2,169,5,Guard,1610612746
204060,Joe,Ingles,1987-10-02,6-9,220,7,Forward-Guard,1610612749
1627742,Brandon,Ingram,1997-09-02,6-8,190,14,Forward,1610612740
202681,Kyrie,Irving,1992-03-23,6-2,195,2,Guard,1610612742
1628371,Jonathan,Isaac,1997-10-03,6-10,230,1,Forward,1610612753
1631093,Jaden,Ivey,2002-02-13,6-4,195,23,Guard,1610612765
1630543,Isaiah,Jackson,2002-01-1,6-9,205,22,Forward,1610612754
202704,Reggie,Jackson,1990-04-16,6-2,208,7,Guard,1610612743
1628991,Jaren,Jackson Jr.,1999-09-15,6-10,242,13,Forward-Center,1610612763
2544,LeBron,James,1984-12-3,6-9,250,6,Forward,1610612747
1629610,DaQuan,Jeffries,1997-08-3,6-5,222,8,Guard-Forward,1610612752
1629660,Ty,Jerome,1997-07-08,6-5,195,10,Guard-Forward,1610612744
1629661,Cameron,Johnson,1996-03-03,6-8,210,2,Forward,1610612751
1630552,Jalen,Johnson,2001-12-18,6-8,219,1,Forward,1610612737
201949,James,Johnson,1987-02-2,6-7,240,16,Forward,1610612754
1630553,Keon,Johnson,2002-03-1,6-3,185,6,Guard,1610612757
203999,Nikola,Jokic,1995-02-19,6-11,284,15,Center,1610612743
1630637,Carlik,Jones,1997-12-23,6-0,174,22,Guard,1610612741
1627745,Damian,Jones,1995-06-3,6-11,245,15,Center,1610612762
1630529,Herbert,Jones,1998-10-06,6-7,206,5,Forward,1610612740
1630539,Kai,Jones,2001-01-19,6-11,221,23,Center-Forward,1610612766
1630200,Tre,Jones,2000-01-08,6-1,185,33,Guard,1610612759
1626145,Tyus,Jones,1996-05-1,6-2,196,21,Guard,1610612764
1627884,Derrick,Jones Jr.,1997-02-15,6-6,210,5,Forward,1610612741
201599,DeAndre,Jordan,1988-07-21,6-11,265,6,Center,1610612743
202709,Cory,Joseph,1991-08-2,6-3,200,18,Guard,1610612765
1631107,Nikola,Jovic,2003-06-09,6-10,205,5,Forward,1610612748
1630548,Johnny,Juzang,2001-03-17,6-6,209,33,Guard,1610612762
1626163,Frank,Kaminsky,1993-04-04,7-0,240,33,Forward-Center,1610612745
1631211,Trevor,Keels,2003-08-26,6-4,221,3,Guard,1610612752
1628379,Luke,Kennard,1996-06-24,6-5,206,10,Guard,1610612763
1631117,Walker,Kessler,2001-07-26,7-0,245,24,Center,1610612762
1629663,Louis,King,1999-04-06,6-7,205,23,Forward,1610612755
1630557,Corey,Kispert,1999-03-03,6-6,224,24,Forward,1610612764
1628467,Maxi,Kleber,1992-01-29,6-10,240,42,Forward,1610612742
1628995,Kevin,Knox II,1999-08-11,6-7,215,11,Forward,1610612757
1631132,Christian,Koloko,2000-06-2,7-0,230,35,Center,1610612761
1629723,John,Konchar,1996-03-22,6-5,210,46,Guard,1610612763
1627788,Furkan,Korkmaz,1997-07-24,6-7,202,30,Guard-Forward,1610612755
1630249,Vit,Krejci,2000-06-19,6-8,195,27,Guard,1610612737
1628398,Kyle,Kuzma,1995-07-24,6-9,221,33,Forward,1610612764
1631222,Jake,LaRavia,2001-11-03,6-7,235,3,Forward,1610612763
203897,Zach,LaVine,1995-03-1,6-5,200,8,Guard,1610612741
1630237,Anthony,Lamb,1998-01-2,6-6,227,40,Forward,1610612744
1629111,Jock,Landale,1995-10-25,6-11,255,11,Center,1610612756
1629641,Romeo,Langford,1999-10-25,6-5,216,35,Guard-Forward,1610612759
1630639,A.J.,Lawson,2000-07-15,6-6,179,9,Guard,1610612742
1627747,Caris,LeVert,1994-08-25,6-6,205,3,Guard,1610612739
1627814,Damion,Lee,1992-10-21,6-5,210,10,Guard-Forward,1610612756
1630240,Saben,Lee,1999-06-23,6-2,183,38,Guard,1610612756
203458,Alex,Len,1993-06-16,7-2,250,25,Center,1610612758
202695,Kawhi,Leonard,1991-06-29,6-7,225,2,Forward,1610612746
203086,Meyers,Leonard,1992-02-27,7-0,260,3,Forward-Center,1610612749
1631171,Justin,Lewis,2002-04-12,6-7,245,34,Forward,1610612741
203081,Damian,Lillard,1990-07-15,6-2,195,0,Guard,1610612757
1629642,Nassir,Little,2000-02-11,6-5,220,10,Forward-Guard,1610612757
1630587,Isaiah,Livers,1998-07-28,6-6,232,12,Forward,1610612765
1631254,Kenneth,Lofton Jr.,2002-08-14,6-6,275,6,Forward,1610612763
1626172,Kevon,Looney,1996-02-06,6-9,222,5,Forward,1610612744
201577,Robin,Lopez,1988-04-01,7-0,281,33,Center,1610612739
201567,Kevin,Love,1988-09-07,6-8,251,0,Forward-Center,1610612748
200768,Kyle,Lowry,1986-03-25,6-0,196,7,Guard,1610612748
1630177,Theo,Maledon,2001-06-12,6-5,175,9,Guard,1610612766
1630572,Sandro,Mamukelashvili,1999-05-23,6-10,240,54,Forward-Center,1610612759
1629611,Terance,Mann,1996-10-18,6-5,215,14,Guard-Forward,1610612746
1630544,Tre,Mann,2001-02-03,6-3,178,23,Guard,1610612760
1626246,Boban,Marjanovic,1988-08-15,7-4,290,51,Center,1610612745
1628374,Lauri,Markkanen,1997-05-22,7-0,240,23,Forward-Center,1610612762
1630230,Naji,Marshall,1998-01-24,6-7,220,8,Forward,1610612740
1628997,Caleb,Martin,1995-09-28,6-5,205,16,Forward,1610612748
1628998,Cody,Martin,1995-09-28,6-6,205,11,Forward,1610612766
1631213,Tyrese,Martin,1999-03-07,6-6,215,22,Guard,1610612737
1630231,Kenyon,Martin Jr.,2001-01-06,6-7,215,6,Forward,1610612745
1629726,Garrison,Mathews,1996-10-24,6-6,215,25,Guard,1610612737
1631097,Bennedict,Mathurin,2002-06-19,6-5,210,00,Guard-Forward,1610612754
202083,Wesley,Matthews,1986-10-14,6-5,220,23,Guard,1610612749
1630540,Miles,McBride,2000-09-08,6-2,195,2,Guard,1610612752
204456,T.J.,McConnell,1992-03-25,6-1,190,9,Guard,1610612754
1629667,Jalen,McDaniels,1998-01-31,6-9,205,7,Forward-Center,1610612755
203926,Doug,McDermott,1992-01-03,6-6,225,17,Forward,1610612759
203585,Rodney,McGruder,1991-07-29,6-4,205,17,Guard,1610612765
1629162,Jordan,McLaughlin,1996-04-09,6-0,185,6,Guard,1610612750
1629001,De'Anthony,Melton,1998-05-28,6-2,200,8,Guard,1610612755
1630241,Sam,Merrill,1996-05-15,6-4,205,20,Guard,1610612739
1629002,Chimezie,Metu,1997-03-22,6-9,225,7,Forward-Center,1610612758
203114,Khris,Middleton,1991-08-12,6-7,222,22,Forward,1610612749
1629003,Shake,Milton,1996-09-26,6-5,205,18,Guard-Forward,1610612755
1631169,Josh,Minott,2002-11-25,6-8,205,8,Forward,1610612750
1630558,Davion,Mitchell,1998-09-05,6-0,202,15,Guard,1610612758
1628378,Donovan,Mitchell,1996-09-07,6-1,215,45,Guard,1610612739
1630596,Evan,Mobley,2001-06-18,6-11,215,4,Center,1610612739
1630600,Isaiah,Mobley,1999-09-24,6-8,238,15,Forward,1610612739
1628370,Malik,Monk,1998-02-04,6-3,200,0,Guard,1610612758
1630541,Moses,Moody,2002-05-31,6-5,211,4,Guard,1610612744
1629875,Xavier,Moon,1995-01-02,6-0,165,15,Guard,1610612746
1631111,Wendell,Moore Jr.,2001-09-18,6-5,215,7,Guard,1610612750
1629630,Ja,Morant,1999-08-1,6-2,174,12,Guard,1610612763
202693,Markieff,Morris,1989-09-02,6-9,245,13,Forward,1610612742
1628420,Monte,Morris,1995-06-27,6-2,183,22,Guard,1610612764
1630530,Trey,Murphy III,2000-06-18,6-8,206,25,Forward,1610612740
1627749,Dejounte,Murray,1996-09-19,6-5,180,5,Guard,1610612737
1627750,Jamal,Murray,1997-02-23,6-4,215,27,Guard,1610612743
1631099,Keegan,Murray,2000-08-19,6-8,225,13,Forward,1610612758
203488,Mike,Muscala,1991-07-01,6-11,240,57,Forward-Center,1610612764
1629004,Svi,Mykhailiuk,1997-06-1,6-7,205,17,Guard-Forward,1610612766
1626204,Larry,Nance Jr.,1993-01-01,6-8,245,22,Forward-Center,1610612740
1630174,Aaron,Nesmith,1999-10-16,6-5,215,23,Guard-Forward,1610612754
203526,Raul,Neto,1992-05-19,6-2,180,19,Guard,1610612739
1627777,Georges,Niang,1993-06-17,6-7,230,20,Forward,1610612755
1630192,Zeke,Nnaji,2001-01-09,6-9,240,22,Forward-Center,1610612743
1629669,Jaylen,Nowell,1999-07-09,6-4,201,4,Guard,1610612750
1628373,Frank,Ntilikina,1998-07-28,6-4,200,21,Guard,1610612742
1629134,Kendrick,Nunn,1995-08-03,6-3,190,20,Guard,1610612764
203994,Jusuf,Nurkic,1994-08-23,7-0,290,27,Center,1610612757
1629670,Jordan,Nwora,1998-09-09,6-9,225,13,Forward,1610612754
1626220,Royce,O'Neale,1993-06-05,6-6,226,00,Forward,1610612751
1629006,Josh,Okogie,1998-09-01,6-4,213,2,Guard,1610612756
1630168,Onyeka,Okongwu,2000-12-11,6-9,240,17,Forward-Center,1610612737
1630171,Isaac,Okoro,2001-01-26,6-5,225,35,Forward-Guard,1610612739
203506,Victor,Oladipo,1992-05-04,6-3,213,4,Guard,1610612748
203482,Kelly,Olynyk,1991-04-19,6-11,240,41,Forward-Center,1610612762
1626224,Cedi,Osman,1995-04-08,6-7,230,16,Forward,1610612739
1626162,Kelly,Oubre Jr.,1995-12-09,6-6,203,12,Forward-Guard,1610612766
101108,Chris,Paul,1985-05-06,6-0,175,3,Guard,1610612764
1626166,Cameron,Payne,1994-08-08,6-1,183,15,Guard,1610612756
1627780,Gary,Payton II,1992-12-01,6-2,195,8,Guard,1610612744
1629033,Theo,Pinson,1995-11-05,6-7,212,1,Guard-Forward,1610612742
203486,Mason,Plumlee,1990-03-05,7-0,254,44,Forward-Center,1610612746
1627751,Jakob,Poeltl,1995-10-15,7-1,245,19,Center,1610612761
1630197,Aleksej,Pokusevski,2001-12-26,7-0,210,17,Forward,1610612760
1629673,Jordan,Poole,1999-06-19,6-4,194,3,Guard,1610612744
1629645,Kevin,Porter Jr.,2000-05-04,6-4,203,3,Guard-Forward,1610612745
203490,Otto,Porter Jr.,1993-06-03,6-8,198,32,Forward,1610612761
1626171,Bobby,Portis,1995-02-1,6-11,250,9,Forward,1610612749
204001,Kristaps,Porzingis,1995-08-02,7-3,240,6,Forward-Center,1610612738
1630695,Micah,Potter,1998-04-06,6-8,248,25,Center,1610612762
1626181,Norman,Powell,1993-05-25,6-4,215,24,Guard,1610612746
1630554,Jason,Preston,1999-08-1,6-3,181,17,Guard,1610612746
1630202,Payton,Pritchard,1998-01-28,6-1,195,11,Guard,1610612738
1629674,Neemias,Queta,1999-07-13,7-0,248,88,Center,1610612758
1630193,Immanuel,Quickley,1999-06-17,6-2,190,5,Guard,1610612752
1631311,Lester,Quinones,2000-11-16,6-4,208,25,Guard,1610612744
1630559,Austin,Reaves,1998-05-29,6-5,197,15,Guard,1610612747
1629629,Cam,Reddish,1999-09-01,6-7,217,5,Forward-Guard,1610612757
1629675,Naz,Reid,1999-08-26,6-9,264,11,Center-Forward,1610612750
1630208,Nick,Richards,1997-11-29,7-0,245,4,Center,1610612766
1626196,Josh,Richardson,1993-09-15,6-6,200,2,Guard,1610612748
203085,Austin,Rivers,1992-08-01,6-4,200,25,Guard,1610612750
1629130,Duncan,Robinson,1994-04-22,6-7,215,55,Forward,1610612748
1629011,Mitchell,Robinson,1998-04-01,7-0,240,23,Center-Forward,1610612752
1631115,Orlando,Robinson,2000-07-1,6-10,235,25,Center,1610612748
1630526,Jeremiah,Robinson-Earl,2000-11-03,6-8,240,50,Forward,1610612760
1629676,Isaiah,Roby,1998-02-03,6-8,230,18,Forward,1610612752
1631223,David,Roddy,2001-03-27,6-4,255,27,Forward,1610612763
1631157,Ryan,Rollins,2002-07-03,6-3,180,2,Guard,1610612744
203082,Terrence,Ross,1991-02-05,6-7,206,8,Guard-Forward,1610612756
1626179,Terry,Rozier,1994-03-17,6-1,190,3,Guard,1610612766
1626156,D'Angelo,Russell,1996-02-23,6-4,193,1,Guard,1610612747
1627734,Domantas,Sabonis,1996-05-03,7-1,240,10,Forward-Center,1610612758
1629677,Luka,Samanic,2000-01-09,6-10,227,19,Forward,1610612762
203967,Dario,Saric,1994-04-08,6-10,225,9,Forward-Center,1610612760
1630846,Olivier,Sarr,1999-02-2,6-11,240,30,Center,1610612760
1629678,Admiral,Schofield,1997-03-3,6-5,241,25,Forward,1610612753
203471,Dennis,Schroder,1993-09-15,6-1,172,17,Guard,1610612747
1631220,Dereon,Seabron,2000-05-26,6-5,180,0,Guard,1610612740
1630578,Alperen,Sengun,2002-07-25,6-11,243,28,Center,1610612745
1629013,Landry,Shamet,1997-03-13,6-4,190,14,Guard,1610612764
1631101,Shaedon,Sharpe,2003-05-3,6-5,200,17,Guard,1610612757
1627783,Pascal,Siakam,1994-04-02,6-8,230,43,Forward,1610612761
1627732,Ben,Simmons,1996-07-2,6-10,240,10,Guard-Forward,1610612751
1630250,Marko,Simonovic,1999-10-15,7-0,220,19,Center,1610612741
1629014,Anfernee,Simons,1999-06-08,6-3,181,1,Guard,1610612757
1630579,Jericho,Sims,1998-10-2,6-10,250,45,Center,1610612752
203935,Marcus,Smart,1994-03-06,6-4,220,36,Guard,1610612763
1630188,Jalen,Smith,2000-03-16,6-9,215,25,Forward-Center,1610612754
1628372,Dennis,Smith Jr.,1997-11-25,6-2,205,8,Guard,1610612766
